task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	4c/e5c84f	467950	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:SEQKIT_SPLIT ($ref_fasta)	CACHED	0	2025-08-13 14:07:07.873	3.9s	165ms	39.6%	9.2 MB	1.2 GB	311.5 KB	21.1 KB
2	26/d2684d	467961	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	CACHED	0	2025-08-13 14:07:40.860	12m 11s	12m 6s	598.0%	139.6 MB	477.2 MB	122.1 MB	163.3 MB
8	ee/32098e	467954	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	CACHED	0	2025-08-13 14:07:19.861	7m 32s	7m 30s	597.8%	87.5 MB	532.1 MB	122.1 MB	104.6 MB
4	50/bb3d87	467953	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_473348.1_3)	CACHED	0	2025-08-13 14:07:16.861	1m 30s	1m 27s	596.5%	20 MB	489.1 MB	122.1 MB	27.9 MB
9	5d/0dc4bb	467959	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007362.1_cds_YP_308669.1_6)	CACHED	0	2025-08-13 14:07:34.861	9m 7s	9m 5s	597.4%	103.7 MB	441.1 MB	122.1 MB	124.7 MB
10	f4/195fd8	467958	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9)	CACHED	0	2025-08-13 14:07:31.860	1m 35s	1m 34s	596.3%	21 MB	532.1 MB	122.1 MB	29.3 MB
5	f9/a72bc1	467955	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_006495800.1_5)	CACHED	0	2025-08-13 14:07:22.860	4m 4s	4m 2s	597.5%	49 MB	468.1 MB	122.1 MB	60.7 MB
3	d1/60170c	467951	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_308665.1_2)	CACHED	0	2025-08-13 14:07:11.866	12m 5s	12m 4s	598.1%	135.8 MB	629.4 MB	122.1 MB	162.9 MB
12	28/03d773	467962	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	CACHED	0	2025-08-13 14:07:43.860	1m 58s	1m 57s	596.2%	25 MB	524.7 MB	122.1 MB	34.2 MB
11	19/c08f56	467957	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	CACHED	0	2025-08-13 14:07:28.862	4m 3s	4m 2s	597.3%	48.1 MB	532.1 MB	122.1 MB	60.7 MB
